intent;expression
Umail.Mail.AddMailToHistory;Een geschiedenis maken vanuit een e-mail
Cal.App.AddHistoryItem;hoe geschiedenis van de kalender opslaan
Cal.App.AddHistoryItem;hoe geschiedenis van een bezoek toevoegen
Cal.App.AddHistoryItem;hoe geschiedenis van een evenement opslaan
Prop.Proj.CreateSubProject;Hoe een deelproject maken
Umail.Mail.AddMailToHistory;Hoe een e-mail aan de geschiedenis toevoegen
Umail.Mail.AddMailToHistory;Hoe een e-mail aan een geschiedenis koppelen
Umail.Mail.AddMailToHistory;Hoe een e-mail bij een geschiedenis voegen
Umail.Mail.AddMailToHistory;Hoe een mail bij een geschiedenis voegen
Umail.Mail.AddMailToHistory;Hoe een e-mail in een geschiedenis integreren
Cal.App.AddHistoryItem;Hoe een evenement uit de agenda verwijderen zonder geschiedenis van het pand te verwijderen
Cal.App.AddHistoryItem;Hoe een evenement uit de agenda verwijderen zonder de contactgeschiedenis te verwijderen
Cal.App.AddHistoryItem;Hoe een evenement uit de agenda verwijderen zonder geschiedenis van het contact the verwijderen
Prop.Proj.CreateSubProject;Hoe een project in verschillende delen opsplitsen
Prop.Proj.CreateSubProject;Hoe een project in verschillende delen te scheiden
Prop.Proj.CreateSubProject;Hoe een project in verschillende delen te splitsen
Prop.Proj.CreateSubProject;Hoe een project in verschillende fasen te splitsen
Prop.Proj.CreateSubProject;Hoe een project in verschillende fasen te verdelen
Prop.Proj.CreateSubProject;Hoe een project op te splitsen in verschillende fasen
Prop.Proj.CreateSubProject;Hoe een project opsplitst in verschillende delen
Prop.Proj.CreateSubProject;ik wil een subproject maken
Prop.Proj.CreateSubProject;Hoe een subproject toevoegt
Umail.Mail.AddMailToHistory;Hoe e-mails bijhouden die naar een contactpersoon zijn verzonden
Umail.Mail.AddMailToHistory;Hoe e-mails bijhouden die naar een eigenaar zijn verzonden
Umail.Mail.AddMailToHistory;Hoe e-mails bijhouden die naar een kandidaat zijn verzonden
Umail.Mail.AddMailToHistory;Hoe e-mails bijhouden die naar een klant zijn verzonden
Cal.App.AddHistoryItem;hoe een bezoek toevoegen aan de geschiedenis
Prop.Proj.CreateSubProject;Hoe maak je een subproject aan
Prop.Proj.CreateSubProject;Hoe presenteer je een project in verschillende fasen
Cal.App.AddHistoryItem;Hoe een afspraak in de geschiedenis aanpassen
Cal.App.AddHistoryItem;Hoe een afspraak in de geschiedenis wijzigen
Cal.App.AddHistoryItem;Hoe een afspraak uit de agenda verwijderen zonder de geschiedenis van de kandidaat te verwijderen
Cal.App.AddHistoryItem;Hoe een afspraak uit de agenda wissen zonder de geschiedenis van de kandidaat te verwijderen
